Act Title,Act No,Act Year,Act Link,full_text,is_repealed
"The Child Marriage Restraint Act, 1929  [Repealed]",XIX,1929,http://bdlaws.minlaw.gov.bd/act-149.html,http://bdlaws.minlaw.gov.bd/act-print-149.html,True
"The Sale of Goods Act, 1930",III,1930,http://bdlaws.minlaw.gov.bd/act-150.html,http://bdlaws.minlaw.gov.bd/act-print-150.html,False
"The Lac Cess Act, 1930",XXIV,1930,http://bdlaws.minlaw.gov.bd/act-151.html,http://bdlaws.minlaw.gov.bd/act-print-151.html,False
"The Hindu Gains of Learning Act, 1930",XXX,1930,http://bdlaws.minlaw.gov.bd/act-152.html,http://bdlaws.minlaw.gov.bd/act-print-152.html,False
"The Mussalman Wakf Validating Act, 1930",XXXII,1930,http://bdlaws.minlaw.gov.bd/act-153.html,http://bdlaws.minlaw.gov.bd/act-print-153.html,False
"The State Aid to Industries Act, 1931",III,1931,http://bdlaws.minlaw.gov.bd/act-154.html,http://bdlaws.minlaw.gov.bd/act-print-154.html,False
"The Provisional Collection of Taxes Act, 1931",XVI,1931,http://bdlaws.minlaw.gov.bd/act-155.html,http://bdlaws.minlaw.gov.bd/act-print-155.html,False
"The Motor Vehicles Tax Act, 1932",I,1932,http://bdlaws.minlaw.gov.bd/act-156.html,http://bdlaws.minlaw.gov.bd/act-print-156.html,False
"The Partnership Act, 1932",IX,1932,http://bdlaws.minlaw.gov.bd/act-157.html,http://bdlaws.minlaw.gov.bd/act-print-157.html,False
"The Foreign Relations Act, 1932",XII,1932,http://bdlaws.minlaw.gov.bd/act-158.html,http://bdlaws.minlaw.gov.bd/act-print-158.html,False
"The Suppression of Immoral Traffic Act, 1933  [Repealed]",VI,1933,http://bdlaws.minlaw.gov.bd/act-159.html,http://bdlaws.minlaw.gov.bd/act-print-159.html,True
"The Money-Lenders Act, 1933",VII,1933,http://bdlaws.minlaw.gov.bd/act-160.html,http://bdlaws.minlaw.gov.bd/act-print-160.html,False
"The Places of Public Amusement Act, 1933",X,1933,http://bdlaws.minlaw.gov.bd/act-161.html,http://bdlaws.minlaw.gov.bd/act-print-161.html,False
"The Wireless Telegraphy Act, 1933",XVII,1933,http://bdlaws.minlaw.gov.bd/act-162.html,http://bdlaws.minlaw.gov.bd/act-print-162.html,False
"The Smuggling of Arms Act, 1934",VI,1934,http://bdlaws.minlaw.gov.bd/act-163.html,http://bdlaws.minlaw.gov.bd/act-print-163.html,False
"The Sugar-Cane Act, 1934",XV,1934,http://bdlaws.minlaw.gov.bd/act-164.html,http://bdlaws.minlaw.gov.bd/act-print-164.html,False
"The Carriage By Air Act, 1934",XX,1934,http://bdlaws.minlaw.gov.bd/act-165.html,http://bdlaws.minlaw.gov.bd/act-print-165.html,False
"The Petroleum Act, 1934  [Repealed]",XXX,1934,http://bdlaws.minlaw.gov.bd/act-166.html,http://bdlaws.minlaw.gov.bd/act-print-166.html,True
"The Development Act, 1935",XVI,1935,http://bdlaws.minlaw.gov.bd/act-167.html,http://bdlaws.minlaw.gov.bd/act-print-167.html,False
"The Parsi Marriage and Divorce Act, 1936",III,1936,http://bdlaws.minlaw.gov.bd/act-168.html,http://bdlaws.minlaw.gov.bd/act-print-168.html,False
"The Agricultural Debtors Act, 1935",VII,1936,http://bdlaws.minlaw.gov.bd/act-169.html,http://bdlaws.minlaw.gov.bd/act-print-169.html,False
"The Geneva Convention Implementing Act, 1936",XIV,1936,http://bdlaws.minlaw.gov.bd/act-1442.html,http://bdlaws.minlaw.gov.bd/act-print-1442.html,False
"The Agricultural Produce (Grading and Marking) Act, 1937",I,1937,http://bdlaws.minlaw.gov.bd/act-170.html,http://bdlaws.minlaw.gov.bd/act-print-170.html,False
"The Hindu Women's Rights to Property Act, 1937",XVIII,1937,http://bdlaws.minlaw.gov.bd/act-171.html,http://bdlaws.minlaw.gov.bd/act-print-171.html,False
"The Arya Marriage Validation Act, 1937",XIX,1937,http://bdlaws.minlaw.gov.bd/act-172.html,http://bdlaws.minlaw.gov.bd/act-print-172.html,False
"The Muslim Personal Law (Shariat) Application Act, 1937",XXVI,1937,http://bdlaws.minlaw.gov.bd/act-173.html,http://bdlaws.minlaw.gov.bd/act-print-173.html,False
"The Famine Insurance Fund Act, 1937 (Bengal Act)",III,1938,http://bdlaws.minlaw.gov.bd/act-174.html,http://bdlaws.minlaw.gov.bd/act-print-174.html,False
"The Insurance Act, 1938   [Repealed]",IV,1938,http://bdlaws.minlaw.gov.bd/act-175.html,http://bdlaws.minlaw.gov.bd/act-print-175.html,True
"The Manoeuvres, Field Firing and Artillery Practice Act, 1938",V,1938,http://bdlaws.minlaw.gov.bd/act-176.html,http://bdlaws.minlaw.gov.bd/act-print-176.html,False
"The Official Receiver's Act, 1938 (Bengal Act)",VII,1938,http://bdlaws.minlaw.gov.bd/act-177.html,http://bdlaws.minlaw.gov.bd/act-print-177.html,False
"The Cutchi Memons Act, 1938",X,1938,http://bdlaws.minlaw.gov.bd/act-178.html,http://bdlaws.minlaw.gov.bd/act-print-178.html,False
"The Criminal Law Amendment Act, 1938",XX,1938,http://bdlaws.minlaw.gov.bd/act-179.html,http://bdlaws.minlaw.gov.bd/act-print-179.html,False
"THE CHITTAGONG HILL-TRACTS LAWS REGULATION, 1939",iii,1939,http://bdlaws.minlaw.gov.bd/act-1325.html,http://bdlaws.minlaw.gov.bd/act-print-1325.html,False
"The Dissolution of Muslim Marriages Act, 1939",VIII,1939,http://bdlaws.minlaw.gov.bd/act-180.html,http://bdlaws.minlaw.gov.bd/act-print-180.html,False
"The Tanks Improvement Act, 1939 (Bengal Act).",XV,1939,http://bdlaws.minlaw.gov.bd/act-181.html,http://bdlaws.minlaw.gov.bd/act-print-181.html,False
"The Registration of Foreigners Act, 1939",XVI,1939,http://bdlaws.minlaw.gov.bd/act-182.html,http://bdlaws.minlaw.gov.bd/act-print-182.html,False
"The Commercial Documents Evidence Act, 1939",XXX,1939,http://bdlaws.minlaw.gov.bd/act-183.html,http://bdlaws.minlaw.gov.bd/act-print-183.html,False
"The Trade Marks Act, 1940  [Repealed]",V,1940,http://bdlaws.minlaw.gov.bd/act-184.html,http://bdlaws.minlaw.gov.bd/act-print-184.html,True
"The Jute Regulation Act, 1940 (Bengal Act)",V,1940,http://bdlaws.minlaw.gov.bd/act-185.html,http://bdlaws.minlaw.gov.bd/act-print-185.html,False
"The Money-Lenders Act, 1940 (Bengal Act)",X,1940,http://bdlaws.minlaw.gov.bd/act-186.html,http://bdlaws.minlaw.gov.bd/act-print-186.html,False
"The Excess Profits Tax Act, 1940",XV,1940,http://bdlaws.minlaw.gov.bd/act-187.html,http://bdlaws.minlaw.gov.bd/act-print-187.html,False
"The Drugs Act, 1940  [Repealed]",XXIII,1940,http://bdlaws.minlaw.gov.bd/act-188.html,http://bdlaws.minlaw.gov.bd/act-print-188.html,True
"The Agricultural Produce Cess Act, 1940",XXVII,1940,http://bdlaws.minlaw.gov.bd/act-189.html,http://bdlaws.minlaw.gov.bd/act-print-189.html,False
"The Raw Jute Taxation Act, 1941 (Bengal Act)",XI,1941,http://bdlaws.minlaw.gov.bd/act-190.html,http://bdlaws.minlaw.gov.bd/act-print-190.html,False
"The Railways (Local Authorities' Taxation) Act, 1941",XXV,1941,http://bdlaws.minlaw.gov.bd/act-191.html,http://bdlaws.minlaw.gov.bd/act-print-191.html,False
"The War Injuries Ordinance, 1941",VII,1941,http://bdlaws.minlaw.gov.bd/act-192.html,http://bdlaws.minlaw.gov.bd/act-print-192.html,False
"THE CHITTAGONG HILL-TRACTS LAWS REGULATION, 1942",I,1942,http://bdlaws.minlaw.gov.bd/act-1326.html,http://bdlaws.minlaw.gov.bd/act-print-1326.html,False
"THE CHITTAGONG HILL-TRACTS LAWS (No. III) REGULATION, 1942",IV,1942,http://bdlaws.minlaw.gov.bd/act-1328.html,http://bdlaws.minlaw.gov.bd/act-print-1328.html,False
"THE CHITTAGONG HILL-TRACTS LAWS (No. IV) REGULATION, 1942",V,1942,http://bdlaws.minlaw.gov.bd/act-1329.html,http://bdlaws.minlaw.gov.bd/act-print-1329.html,False
"THE CHITTAGONG HILL-TRACTS LAWS (No. V) REGULATION, 1942",VI,1942,http://bdlaws.minlaw.gov.bd/act-1330.html,http://bdlaws.minlaw.gov.bd/act-print-1330.html,False
"THE MYMENSINGH PARTIALLY EXCLUDED AREAS TENANCY REGULATION, 1942.",VIII,1942,http://bdlaws.minlaw.gov.bd/act-1332.html,http://bdlaws.minlaw.gov.bd/act-print-1332.html,False
"The Criminal Law (Industrial Areas) Amendment Act, 1942 (Bengal Act)",IV,1942,http://bdlaws.minlaw.gov.bd/act-193.html,http://bdlaws.minlaw.gov.bd/act-print-193.html,False
"The Industrial Statistics Act, 1942",XIX,1942,http://bdlaws.minlaw.gov.bd/act-194.html,http://bdlaws.minlaw.gov.bd/act-print-194.html,False
"The Collective Fines Ordinance, 1942",XX,1942,http://bdlaws.minlaw.gov.bd/act-195.html,http://bdlaws.minlaw.gov.bd/act-print-195.html,False
"The Armed Forces (Special Powers) Ordinance, 1942",XLI,1942,http://bdlaws.minlaw.gov.bd/act-196.html,http://bdlaws.minlaw.gov.bd/act-print-196.html,False
"The Income-tax and Excess Profits Tax (Emergency) Ordinance, 1942",LX,1942,http://bdlaws.minlaw.gov.bd/act-197.html,http://bdlaws.minlaw.gov.bd/act-print-197.html,False
"The Armed Forces (Special Powers) Extension Ordinance, 1942",LXVI,1942,http://bdlaws.minlaw.gov.bd/act-198.html,http://bdlaws.minlaw.gov.bd/act-print-198.html,False
"THE CHITTAGONG HILL-TRACT LAWS REGULATIONS, 1943",I,1943,http://bdlaws.minlaw.gov.bd/act-1334.html,http://bdlaws.minlaw.gov.bd/act-print-1334.html,False
"THE CHITTAGONG HILL-TRACTS LAWS (No. III) REGULATION, 1943",III,1943,http://bdlaws.minlaw.gov.bd/act-1335.html,http://bdlaws.minlaw.gov.bd/act-print-1335.html,False
"THE CHITTAGONG HILL-TRACTS LAWS (No. IV) REGULATION, 1943",IV,1943,http://bdlaws.minlaw.gov.bd/act-1336.html,http://bdlaws.minlaw.gov.bd/act-print-1336.html,False
"The Vagrancy Act, 1943 (Bengal Act) [Repealed]",VII,1943,http://bdlaws.minlaw.gov.bd/act-199.html,http://bdlaws.minlaw.gov.bd/act-print-199.html,True
"The Reciprocity Act, 1943",IX,1943,http://bdlaws.minlaw.gov.bd/act-200.html,http://bdlaws.minlaw.gov.bd/act-print-200.html,False
"The Hindu Women's Rights to Property (Extension to Agricultural Land) Act, 1943 (Assam Act)",XIII,1943,http://bdlaws.minlaw.gov.bd/act-201.html,http://bdlaws.minlaw.gov.bd/act-print-201.html,False
"The War Injuries (Compensation Insurance) Act, 1943",XXIII,1943,http://bdlaws.minlaw.gov.bd/act-202.html,http://bdlaws.minlaw.gov.bd/act-print-202.html,False
"The Enemy Agents Ordinance, 1943",I,1943,http://bdlaws.minlaw.gov.bd/act-203.html,http://bdlaws.minlaw.gov.bd/act-print-203.html,False
"The Standard Time (Interpretation of References) Ordinance, 1943",VI,1943,http://bdlaws.minlaw.gov.bd/act-204.html,http://bdlaws.minlaw.gov.bd/act-print-204.html,False
"The Military Stores (Unlawful Possession) Ordinance, 1943",XXXIII,1943,http://bdlaws.minlaw.gov.bd/act-205.html,http://bdlaws.minlaw.gov.bd/act-print-205.html,False
"THE CHITTAGONG HILL-TRACTS LAWS (No. II) REGULATION, 1944",III,1944,http://bdlaws.minlaw.gov.bd/act-1337.html,http://bdlaws.minlaw.gov.bd/act-print-1337.html,False
"The Excises and Salt Act and the Finance Act (Chittagong Hill-tracts) Regulation, 1944",NO II,1944,http://bdlaws.minlaw.gov.bd/act-1491.html,http://bdlaws.minlaw.gov.bd/act-print-1491.html,False
"The Excises and Salt Act, 1944",I,1944,http://bdlaws.minlaw.gov.bd/act-206.html,http://bdlaws.minlaw.gov.bd/act-print-206.html,False
"The Orphanages and Widows' Homes Act, 1944 (Bengal Act)",III,1944,http://bdlaws.minlaw.gov.bd/act-207.html,http://bdlaws.minlaw.gov.bd/act-print-207.html,False
"The Coconut Committee Act, 1944",X,1944,http://bdlaws.minlaw.gov.bd/act-208.html,http://bdlaws.minlaw.gov.bd/act-print-208.html,False
"The Public Debt Act, 1944  [Repealed]",XVIII,1944,http://bdlaws.minlaw.gov.bd/act-209.html,http://bdlaws.minlaw.gov.bd/act-print-209.html,True
"The Public Health (Emergency Provisions) Ordinance, 1944  [Repealed]",XXI,1944,http://bdlaws.minlaw.gov.bd/act-210.html,http://bdlaws.minlaw.gov.bd/act-print-210.html,True
"The Criminal Law Amendment Ordinance, 1944",XXXVIII,1944,http://bdlaws.minlaw.gov.bd/act-211.html,http://bdlaws.minlaw.gov.bd/act-print-211.html,False
"The Post Office National Savings Certificates Ordinance, 1944",XLII,1944,http://bdlaws.minlaw.gov.bd/act-212.html,http://bdlaws.minlaw.gov.bd/act-print-212.html,False
